N,coverage,match_level,ethnicity,model_variant
1000.0,0.3894106473514822,8of8,Chinese,same_ethnicity
1071.8913192051275,0.40158079618946246,8of8,Chinese,same_ethnicity
1148.9510001873086,0.41387264223908127,8of8,Chinese,same_ethnicity
1231.550603292826,0.4262765405619091,8of8,Chinese,same_ethnicity
1320.088400831418,0.43878251139973296,8of8,Chinese,same_ethnicity
1414.991297434576,0.4513802271649478,8of8,Chinese,same_ethnicity
1516.7168884709226,0.46405900281859386,8of8,Chinese,same_ethnicity
1625.7556664437934,0.4768077915506654,8of8,Chinese,same_ethnicity
1742.6333860096508,0.48961518722543934,8of8,Chinese,same_ethnicity
1867.9135990207828,0.5024694346349468,8of8,Chinese,same_ethnicity
2002.2003718155845,0.5153584482675053,8of8,Chinese,same_ethnicity
2146.1411978584038,0.5282698400547661,8of8,Chinese,same_ethnicity
2300.430119772917,0.5411909563806703,8of8,Chinese,same_ethnicity
2465.811075822604,0.5541089244647752,8of8,Chinese,same_ethnicity
2643.0814869741057,0.5670107080100935,8of8,Chinese,same_ethnicity
2833.096101839324,0.5798831716824568,8of8,Chinese,same_ethnicity
3036.771118035457,0.5927131535381283,8of8,Chinese,same_ethnicity
3255.0885998350564,0.6054875439410864,8of8,Chinese,same_ethnicity
3489.1012134067737,0.618193368841948,8of8,Chinese,same_ethnicity
3739.937302478798,0.630817874584148,8of8,Chinese,same_ethnicity
4008.8063288984645,0.6433486107404661,8of8,Chinese,same_ethnicity
4297.00470432084,0.655773506964003,8of8,Chinese,same_ethnicity
4605.922041145103,0.6680809395728122,8of8,Chinese,same_ethnicity
4937.047852839004,0.6802597836823814,8of8,Chinese,same_ethnicity
5291.978735958442,0.6922994472330791,8of8,Chinese,same_ethnicity
5672.426068491977,0.7041898842551589,8of8,Chinese,same_ethnicity
6080.224261649421,0.7159215861236266,8of8,Chinese,same_ethnicity
6517.339604882421,0.7274855512546848,8of8,Chinese,same_ethnicity
6985.879746785249,0.7388732355010599,8of8,Chinese,same_ethnicity
7488.103857590023,0.7500764872071902,8of8,Chinese,same_ethnicity
8026.4335222571735,0.7610874722942352,8of8,Chinese,same_ethnicity
8603.464416684501,0.7718985957137197,8of8,Chinese,same_ethnicity
9221.978823334322,0.7825024260543103,8of8,Chinese,same_ethnicity
9884.959046625587,0.7928916299854477,8of8,Chinese,same_ethnicity
10595.601792776148,0.8030589225976199,8of8,Chinese,same_ethnicity
11357.333583431051,0.8129970386080541,8of8,Chinese,same_ethnicity
12173.82727739662,0.8226987279234679,8of8,Chinese,same_ethnicity
13049.019780144015,0.8321567772933124,8of8,Chinese,same_ethnicity
13987.131026472387,0.8413640578778144,8of8,Chinese,same_ethnicity
14992.684327860472,0.8503135966476638,8of8,Chinese,same_ethnicity
16070.528182616385,0.8589986677900396,8of8,Chinese,same_ethnicity
17225.859653987874,0.8674128988750378,8of8,Chinese,same_ethnicity
18464.249428955427,0.8755503855642655,8of8,Chinese,same_ethnicity
19791.668678535574,0.8834058081983138,8of8,Chinese,same_ethnicity
21214.517849106276,0.8909745437021794,8of8,Chinese,same_ethnicity
22739.657523579273,0.8982527668581354,8of8,Chinese,same_ethnicity
24374.441501222216,0.9052375360229052,8of8,Chinese,same_ethnicity
26126.752255633266,0.9119268596812579,8of8,Chinese,same_ethnicity
28005.03894183631,0.9183197416817698,8of8,Chinese,same_ethnicity
30018.35813575592,0.9244162044415279,8of8,Chinese,same_ethnicity
32176.417502507353,0.9302172907016505,8of8,Chinese,same_ethnicity
34489.6226040576,0.9357250454660894,8of8,Chinese,same_ethnicity
36969.12707195024,0.9409424805102944,8of8,Chinese,same_ethnicity
39626.88638701478,0.9458735243021568,8of8,Chinese,same_ethnicity
42475.71552536894,0.9505229603762908,8of8,Chinese,same_ethnicity
45529.35074866948,0.9548963572117706,8of8,Chinese,same_ethnicity
48802.515836544335,0.9589999925542773,8of8,Chinese,same_ethnicity
52310.993080562585,0.9628407749508072,8of8,Chinese,same_ethnicity
56071.69938205458,0.9664261650531556,8of8,Chinese,same_ethnicity
60102.76782070388,0.969764098990071,8of8,Chinese,same_ethnicity
64423.635087213705,0.9728629157843716,8of8,Chinese,same_ethnicity
69055.13520162331,0.9757312903792997,8of8,Chinese,same_ethnicity
74019.59996915638,0.9783781733364111,8of8,Chinese,same_ethnicity
79340.96665797492,0.9808127377021612,8of8,Chinese,same_ethnicity
85044.89341802668,0.9830443329633879,8of8,Chinese,same_ethnicity
91158.88299750819,0.9850824454850704,8of8,Chinese,same_ethnicity
97712.41535346501,0.9869366644018223,8of8,Chinese,same_ethnicity
104737.08979594486,0.9886166516510353,8of8,Chinese,same_ethnicity
112266.77735108136,0.9901321146968692,8of8,Chinese,same_ethnicity
120337.78407775905,0.9914927804837597,8of8,Chinese,same_ethnicity
128989.02612533081,0.9927083692461437,8of8,Chinese,same_ethnicity
138262.21737646536,0.9937885669571943,8of8,Chinese,same_ethnicity
148202.070579886,0.9947429954014425,8of8,Chinese,same_ethnicity
158856.51294280528,0.9955811790949377,8of8,Chinese,same_ethnicity
170276.91722258978,0.9963125085536826,8of8,Chinese,same_ethnicity
182518.34943190424,0.9969461997331791,8of8,Chinese,same_ethnicity
195639.8343517065,0.9974912498325077,8of8,Chinese,same_ethnicity
209704.64013232305,0.9979563900682122,8of8,Chinese,same_ethnicity
224780.58335487253,0.9983500364540883,8of8,Chinese,same_ethnicity
240940.35602395269,0.9986802400355425,8of8,Chinese,same_ethnicity
258261.87606826748,0.9989546383741891,8of8,Chinese,same_ethnicity
276828.6630392061,0.9991804103107526,8of8,Chinese,same_ethnicity
296730.24081888725,0.9993642361112437,8of8,Chinese,same_ethnicity
318062.5692794119,0.9995122649988312,8of8,Chinese,same_ethnicity
340928.50697468076,0.9996300917906157,8of8,Chinese,same_ethnicity
365438.30709572544,0.9997227439173071,8of8,Chinese,same_ethnicity
391710.1490809261,0.99979467954771,8of8,Chinese,same_ethnicity
419870.70844439056,0.9998497969247432,8of8,Chinese,same_ethnicity
450055.76757004973,0.9998914544047239,8of8,Chinese,same_ethnicity
482410.8704165374,0.9999225001305063,8of8,Chinese,same_ethnicity
517092.0242896755,0.9999453098037704,8of8,Chinese,same_ethnicity
554266.4520663096,0.9999618306800494,8of8,Chinese,same_ethnicity
594113.3984965039,0.999973629706341,8of8,Chinese,same_ethnicity
636824.9944718586,0.9999819436588876,8of8,Chinese,same_ethnicity
