N,coverage,match_level,ethnicity,model_variant
1000.0,0.05713478990785271,8of8,Chinese,same_ethnicity
1071.8913192051275,0.05970365673921117,8of8,Chinese,same_ethnicity
1148.9510001873086,0.06235296468176918,8of8,Chinese,same_ethnicity
1231.550603292826,0.06508397210956882,8of8,Chinese,same_ethnicity
1320.088400831418,0.06789787232582302,8of8,Chinese,same_ethnicity
1414.991297434576,0.07079578027596042,8of8,Chinese,same_ethnicity
1516.7168884709226,0.07377872446665898,8of8,Chinese,same_ethnicity
1625.7556664437934,0.0768476448465687,8of8,Chinese,same_ethnicity
1742.6333860096508,0.08000339671962556,8of8,Chinese,same_ethnicity
1867.9135990207828,0.0832467600356967,8of8,Chinese,same_ethnicity
2002.2003718155845,0.0865784527400854,8of8,Chinese,same_ethnicity
2146.1411978584038,0.08999914636284724,8of8,Chinese,same_ethnicity
2300.430119772917,0.09350948176667366,8of8,Chinese,same_ethnicity
2465.811075822604,0.0971100829849208,8of8,Chinese,same_ethnicity
2643.0814869741057,0.1008015673599594,8of8,Chinese,same_ethnicity
2833.096101839324,0.1045845506848407,8of8,Chinese,same_ethnicity
3036.771118035457,0.10845964667718429,8of8,Chinese,same_ethnicity
3255.0885998350564,0.11242746078055157,8of8,Chinese,same_ethnicity
3489.1012134067737,0.1164885789090077,8of8,Chinese,same_ethnicity
3739.937302478798,0.12064355225786656,8of8,Chinese,same_ethnicity
4008.8063288984645,0.12489287965503425,8of8,Chinese,same_ethnicity
4297.00470432084,0.1292369891034853,8of8,Chinese,same_ethnicity
4605.922041145103,0.13367622016526584,8of8,Chinese,same_ethnicity
4937.047852839004,0.13821080867382377,8of8,Chinese,same_ethnicity
5291.978735958442,0.14284087495854472,8of8,Chinese,same_ethnicity
5672.426068491977,0.14756641635822304,8of8,Chinese,same_ethnicity
6080.224261649421,0.15238730433452044,8of8,Chinese,same_ethnicity
6517.339604882421,0.15730328602572988,8of8,Chinese,same_ethnicity
6985.879746785249,0.16231398966021152,8of8,Chinese,same_ethnicity
7488.103857590023,0.16741893292493498,8of8,Chinese,same_ethnicity
8026.4335222571735,0.1726175331887474,8of8,Chinese,same_ethnicity
8603.464416684501,0.17790911842206625,8of8,Chinese,same_ethnicity
9221.978823334322,0.183292937723519,8of8,Chinese,same_ethnicity
9884.959046625587,0.1887681705329178,8of8,Chinese,same_ethnicity
10595.601792776148,0.19433393384501427,8of8,Chinese,same_ethnicity
11357.333583431051,0.1999892870066922,8of8,Chinese,same_ethnicity
12173.82727739662,0.20573323395429538,8of8,Chinese,same_ethnicity
13049.019780144015,0.21156472300704018,8of8,Chinese,same_ethnicity
13987.131026472387,0.21748264456074098,8of8,Chinese,same_ethnicity
14992.684327860472,0.22348582720897295,8of8,Chinese,same_ethnicity
16070.528182616385,0.22957303294267997,8of8,Chinese,same_ethnicity
17225.859653987874,0.2357429521332043,8of8,Chinese,same_ethnicity
18464.249428955427,0.24199419898368724,8of8,Chinese,same_ethnicity
19791.668678535574,0.2483253080459407,8of8,Chinese,same_ethnicity
21214.517849106276,0.25473473226101095,8of8,Chinese,same_ethnicity
22739.657523579273,0.2612208428154086,8of8,Chinese,same_ethnicity
24374.441501222216,0.26778193093492564,8of8,Chinese,same_ethnicity
26126.752255633266,0.2744162115811931,8of8,Chinese,same_ethnicity
28005.03894183631,0.2811218288798386,8of8,Chinese,same_ethnicity
30018.35813575592,0.2878968629926262,8of8,Chinese,same_ethnicity
32176.417502507353,0.2947393380459388,8of8,Chinese,same_ethnicity
34489.6226040576,0.30164723064447224,8of8,Chinese,same_ethnicity
36969.12707195024,0.3086184784384606,8of8,Chinese,same_ethnicity
39626.88638701478,0.31565098818648457,8of8,Chinese,same_ethnicity
42475.71552536894,0.3227426427751008,8of8,Chinese,same_ethnicity
