match_level,ethnicity,n_donors,n_distinct_genotypes,pct_singleton_genotypes,pct_donors_with_a_twin,cov_10000,cov_50000,cov_100000,cov_500000,cov_1000000,cov_10000000,N90,N95
10of10,Chinese,44400,31861,81.17447663287405,41.75,35.6,78.9,93.7,100.0,100.0,100.0,80680.23821111787,110255.40651225438
10of10,Indian,5490,4911,89.77804927713296,19.690346083788707,86.6,100.0,100.0,100.0,100.0,100.0,11574.290407028662,15311.137591726823
10of10,Malay,5578,4729,88.09473461619793,25.313732520616707,87.1,100.0,100.0,100.0,100.0,100.0,11370.386178483357,15158.908142888642
10of10,Others,3767,3414,90.36321031048624,18.10459251393682,94.2,100.0,100.0,100.0,100.0,100.0,8011.156819754993,10577.202342845185
8of8,Chinese,44400,31056,80.11334363730036,43.96396396396396,36.8,79.5,93.9,100.0,100.0,100.0,79168.01301485045,108642.09629881766
8of8,Indian,5490,4895,89.56077630234934,20.145719489981786,86.6,100.0,100.0,100.0,100.0,100.0,11546.174110205242,15281.491409177446
8of8,Malay,5578,4648,87.22030981067125,27.32162065256364,87.4,100.0,100.0,100.0,100.0,100.0,11232.00476260224,15013.735892455801
8of8,Others,3767,3401,90.17935901205527,18.582426333952746,94.2,100.0,100.0,100.0,100.0,100.0,7990.309963389748,10555.735399206273
